287577836;"House of 9";2005;R;86;;"Dennis Hopper";"Kelly Brook";"Susie Amy";"Morven Christie";"Ashley Walters"
10600;"House of D";2004;PG-13;97;;"Anton Yelchin";"Tea Leoni";"David Duchovny";"Robin Williams";"Erykah Badu"
376875407;"House of the Dead 2: Dead Aim (All Guts No Glory)";2006;R;95;;"Emmanuelle Vaugier";"Ed Quinn";"Sid Haig";"Kirk ""Sticky Fingaz"" Jones";"Victoria Pratt"
11894;"House Arrest";1996;PG;108;;"Jamie Lee Curtis";"Kevin Pollak";"Jennifer Tilly";"Christopher McDonald";"Sheila McCarthy"
770780311;"The Poker House";2008;R;93;;"Selma Blair";"Jennifer Lawrence";"Bokeem Woodbine";"David Alan Grier";"Sophia Bairley"
771313143;"In the House";2013;R;105;"A sixteen-year-old boy insinuates himself into the house of a fellow student from his literature class and writes about it in essays for his French teacher. Faced with this gifted and unusual pupil, the teacher rediscovers his enthusiasm for his work, but the boy's intrusion will unleash a series of uncontrollable events. (c) Cohen Media";"Fabrice Luchini";"Ernst Umhauer";"Kristin Scott Thomas";"Emmanuelle Seigner";"Denis Menochet"
10798;Housesitter;1992;PG;102;;"Steve Martin";"Goldie Hawn";"Dana Delany";"Julie Harris";"Donald Moffat"
770800557;"House IV (House 4: The Repossession) (House IV: Home Deadly Home)";1991;R;93;;"Terri Treas";"William Katt";"Scott Burkholder";"Melissa Clayton";"Denny Dillon"
190816482;"House of Sand (Casa de Areia)";2005;R;115;;"Seu Jorge";"Luiz Melodia";"Enrique Diaz";"Stenio Garcia";"Emiliano Querioz"
16891;"House (Ding Dong, You're Dead)";1986;R;93;;"William Katt";"George Wendt";"Richard Moll";"Kay Lenz";"Mary Stavin"
14137;"House Party 2";1991;R;94;;"Christopher ""Kid"" Reid";"Christopher ""Play"" Martin";"Tisha Campbell";Iman;"Martin Lawrence"
771271134;"Housefull 2: The Dirty Dozen";2012;Unrated;145;"Four fathers, four daughters and four prospective son-in-laws live in the same house. Each father wants his daughter to marry the richest son-in-law; each daughter thinks she is marrying the richest son-in-law while each son-in-law pretends to be the richest.";"Akshay Kumar";"John Abraham";"Asini Thottumkal";"Jacqueline Fernandes";"Shreyas Talpade"
14003;"House of Games";1987;R;102;;"Lindsay Crouse";"Joe Mantegna";"Mike Nussbaum";"Lilia Skala";"J.T. Walsh"
11965;"Man of the House";1995;PG;97;;"Chevy Chase";"Farrah Fawcett";"Jonathan Taylor Thomas";"George Wendt";"David Shiner"
14403;"House Party 3";1994;R;94;;"Christopher ""Kid"" Reid";"Christopher ""Play"" Martin";"David Edwards";"Angela Means";"Tisha Campbell"
11566;"House II: The Second Story";1987;PG-13;88;;"Arye Gross";"Jonathan Stark";"Royal Dano";"Bill Maher";"Lar Park Lincoln"
770937629;"House of Yes - Live from House of Blues";1999;Unrated;112;;;;;;
104762797;"House of Dracula";1945;Unrated;67;;"Lon Chaney Jr";"John Carradine";"Martha O'Driscoll";"Lionel Atwill";"Glenn Strange"
371352252;"House of Frankenstein";1944;Unrated;71;;"Boris Karloff";"J. Carrol Naish";"Lon Chaney Jr";"John Carradine";"Anne Gwynne"
15153;"House Party 4: Down to the Last Minute";2001;R;79;;"Marques Houston";"David Roberson";"Meagan Good";;
12746;"House of Cards";1992;PG-13;109;;"Kathleen Turner";"Tommy Lee Jones";"Asha Menina";"Shiloh Strong";"Esther Rolle"
15267;"House of Fools";2003;R;104;;"Bryan Adams";"Julia Vysotsky";"Sultan Islamov";"Stanislav Varkki";"Vladas Bagdonas"
770919359;"House of Usher - Malice in Renderland";1994;Unrated;30;;"House of Usher";;;;
271511126;"House of the Seven Corpses";1973;PG;84;;"John Ireland";"Faith Domergue";"John Carradine";"Charles McCauley";"Carole Wells"
770873461;"House Full";2009;Unrated;135;;"Akshay Kumar";"Deepika Padukone";"Ritesh Deshmukh";"Arjun Rampal";"Lara Dutta"
770669519;"House of Dark Shadows";1970;PG;97;;"Jonathan Frid";"Kathryn Leigh Scott";"Roger Davis";"Nancy Barrett";"John Karlen"
18911;"House By the River";1950;Unrated;88;;"Louis Hayward";"Lee Bowman";"Jane Wyatt";"Dorothy Patrick";"Ann Shoemaker"
17679;"The Acid House";1998;Unrated;118;;"Stephen McCole";"Maurice Roeves";"Garry Sweeney";"Jenny McCrindle";"Morgan Simpson"
11182;"House Calls";1978;PG;98;;"Walter Matthau";"Glenda Jackson";"Art Carney";"Richard Benjamin";"Candice Azzara"
771040732;"The Silent House";2010;R;79;"Laura and her father Wilson settle down in an old farmhouse to make some repairs and update it prior to its sale. But after they spend the night there, things start to get strange. Laura hears a sound that gets louder and louder on the upper floor of the house. Wilson goes up to see what is going on while she remains downstairs, waiting for her father's return.";"Florencia Colucci";"Abel Tripaldi";"Gustavo Fabian Alonso";"Maria Paz Salazar";"Patricia Silveira"
770672543;"House of the Long Shadows";1982;PG;96;;"Vincent Price";"Christopher Lee";"Peter Cushing";"Desi Arnaz Jr.";"John Carradine"
18397;"House of Bamboo";1955;Unrated;102;;"Robert Ryan";"Robert Stack";"Shirley Yamaguchi";"Cameron Mitchell";"Brad Dexter"
770785766;"House Hunting";2003;Unrated;18;;"Paul Rudd";"Zooey Deschanel";"Terry Kinney";"Felicity Huffman";
21078;"House of Dies Drear";1984;Unrated;116;;"Frances Foster";"Gloria Foster";"Joe Seneca";"Moses Gunn";"Shavar Ross"
20089;"House of Bernarda Alba";1987;R;100;;"Ana Belen";"Florinda Chico";"Enriqueta Carballeira";"Vicky Pena";"Mercedes Lezcano"
770671747;"House of Strangers";1949;Unrated;101;;"Edward G. Robinson";"Susan Hayward";"Richard Conte";"Luther Adler";"Paul Valentine"
770682223;"House of the Living Dead (Curse of the Dead) (Doctor Maniac)";1973;PG;87;;"Shirley Ann Field";"David Oxley";"Mark Burns";"Margaret Inglis";"Dia Sydow"
771241765;"House Of The Rising Sun";2011;R;90;"A former cop goes to work at a mafia strip club after being released from prison, and races to solve a vicious crime before he takes the fall in this hard-hitting action thriller starring WWF brawler Dave Bautista (aka Batista). Ray (Bautista) used to uphold the law; now he's fallen on the wrong side of it. But he's served his sentence, and he's content just taking things one day at a time. In order to earn a little extra income, Ray takes a job as the head of security at The House of the Rising Sun, an underworld strip club that also houses an illicit gambling den. When a savage gang of thieves strike fast and hard, the police finger Ray as the mastermind of the violent robbery. Now, in order to regain his honor and avoid ending up back in prison, Ray must catch the real culprits, before the police catch up with him. ~ Jason Buchanan, Rovi";"David Bautista";"Amy Smart";"Dominic Purcell";"Craig Fairbrass";"Danny Trejo"
770740121;"House of Usher";2008;R;84;;"Frank Mentier";"Michael Cardelle";"Jamyse Haft";"Jack Carlisle";"Dan Fugardi"
770815493;"House of Numbers";2009;Unrated;89;;"Anthony Fauci";"Francois Barre-Sinnousi";"James Curran";"Kenneth Cole";"Luc Montagnier"
712020849;"House of Mortal Sin (The Confessional)";1975;R;108;;"Jack Allen";"Stephanie Beacham";"Kim Butcher";"Norman Eshley";"Mervyn Johns"
712011445;"House of Whipcord (Photographer's Models)";1975;R;102;;"Penny Irving";"Barbara Markham";"Ann Michelle";"Ray Brooks";"Patrick Barr"
770859072;Housebroken;2009;R;94;;"Danny DeVito";"Katey Sagal";"Ryan Hansen";"Skyler Stone";"Tom Wilson"
771359133;"House Party: Tonight's The Night";2013;R;95;"Chris has it all worked out: he's ready to leave high school behind and head to college in his sweet new ride. The problem is, he'll be leaving behind his best friend and partner in rhyme, Dylan. And he still has to get with Autumn, the girl he's had a crush on since second grade. The solution? Throw one last party where Chris and Dylan can show off their skills with words and women. But a little get-together becomes a hilariously epic disaster where anything can happen and anyone might turn up...including the original house partyers, Kid 'n Play.";"Tequan Richmond";"Zac Goodspeed";"Rolonda Watts";"Tristin Mays";"Gary Anthony Williams"
770687085;"House of Fears";2007;Unrated;85;;"Corri English";"Sandra McCoy";"Michael J. Pagan";"Corey Sevier";"Alice Greczyn"
426051944;"House of Terror (The Five at the Funeral)";1975;PG;90;;"Jennifer Bishop";"Arell Blanton";"Jacquelyn Hyde";"Mitchell Gregg";"Irenee Byatt"
